batch_id,medicine_id,medicine_name,expiry_date,quantity_vien,branch_id
B1,M37,Thuoc_M37,2026-08-29,100,CN4
B2,M50,Thuoc_M50,2025-09-04,2000,CN10
B3,M27,Thuoc_M27,2027-07-06,1100,CN2
B4,M12,Thuoc_M12,2027-05-08,800,CN8
B5,M13,Thuoc_M13,2026-08-09,600,CN7
B6,M30,Thuoc_M30,2025-11-27,500,CN3
B7,M26,Thuoc_M26,2025-10-13,400,CN3
B8,M24,Thuoc_M24,2026-01-06,1700,CN8
B9,M27,Thuoc_M27,2026-05-16,100,CN6
B10,M41,Thuoc_M41,2027-06-06,500,CN5
B11,M49,Thuoc_M49,2026-05-02,1100,CN4
B12,M24,Thuoc_M24,2026-03-10,1400,CN1
B13,M36,Thuoc_M36,2026-05-16,900,CN9
B14,M48,Thuoc_M48,2027-01-05,2000,CN6
B15,M26,Thuoc_M26,2026-03-31,1600,CN7
B16,M7,Thuoc_M7,2026-03-04,500,CN9
B17,M34,Thuoc_M34,2025-10-31,1900,CN8
B18,M46,Thuoc_M46,2026-01-06,600,CN1
B19,M50,Thuoc_M50,2025-06-08,400,CN7
B20,M6,Thuoc_M6,2027-07-31,800,CN1
B21,M29,Thuoc_M29,2025-05-18,400,CN1
B22,M11,Thuoc_M11,2025-10-27,1200,CN10
B23,M19,Thuoc_M19,2027-05-25,200,CN9
B24,M14,Thuoc_M14,2025-12-18,300,CN4
B25,M47,Thuoc_M47,2026-04-06,1200,CN7
B26,M41,Thuoc_M41,2025-08-23,1800,CN5
B27,M43,Thuoc_M43,2026-03-13,1600,CN1
B28,M30,Thuoc_M30,2026-05-17,1500,CN1
B29,M3,Thuoc_M3,2025-09-04,2000,CN1
B30,M35,Thuoc_M35,2027-03-21,100,CN8
B31,M48,Thuoc_M48,2026-11-10,1400,CN5
B32,M35,Thuoc_M35,2025-05-10,1900,CN3
B33,M27,Thuoc_M27,2025-12-08,1600,CN7
B34,M10,Thuoc_M10,2026-03-01,200,CN6
B35,M1,Thuoc_M1,2026-08-19,1200,CN2
B36,M38,Thuoc_M38,2026-04-16,1300,CN2
B37,M35,Thuoc_M35,2027-04-06,400,CN4
B38,M18,Thuoc_M18,2026-09-26,400,CN4
B39,M34,Thuoc_M34,2025-10-14,700,CN4
B40,M44,Thuoc_M44,2026-12-04,200,CN9
B41,M39,Thuoc_M39,2025-12-14,600,CN2
B42,M1,Thuoc_M1,2026-05-11,500,CN7
B43,M8,Thuoc_M8,2026-09-22,400,CN3
B44,M38,Thuoc_M38,2026-03-20,1300,CN6
B45,M8,Thuoc_M8,2026-03-20,600,CN8
B46,M26,Thuoc_M26,2027-02-11,1600,CN5
B47,M6,Thuoc_M6,2027-07-08,700,CN6
B48,M34,Thuoc_M34,2027-01-16,600,CN7
B49,M3,Thuoc_M3,2026-04-20,2000,CN4
B50,M34,Thuoc_M34,2026-04-22,1800,CN6
B51,M41,Thuoc_M41,2026-08-08,2000,CN4
B52,M46,Thuoc_M46,2025-12-12,1200,CN8
B53,M45,Thuoc_M45,2026-10-23,800,CN1
B54,M41,Thuoc_M41,2027-01-29,1300,CN4
B55,M49,Thuoc_M49,2027-02-18,1600,CN1
B56,M48,Thuoc_M48,2026-08-18,1400,CN4
B57,M28,Thuoc_M28,2027-07-20,2000,CN7
B58,M5,Thuoc_M5,2026-09-10,1600,CN2
B59,M22,Thuoc_M22,2025-12-05,1900,CN7
B60,M12,Thuoc_M12,2025-11-28,2000,CN1
B61,M27,Thuoc_M27,2026-01-08,1900,CN2
B62,M21,Thuoc_M21,2027-02-14,1500,CN7
B63,M20,Thuoc_M20,2025-08-31,1900,CN8
B64,M18,Thuoc_M18,2026-10-13,1500,CN2
B65,M48,Thuoc_M48,2025-10-19,1500,CN7
B66,M2,Thuoc_M2,2027-07-12,2000,CN4
B67,M10,Thuoc_M10,2026-08-09,1100,CN7
B68,M17,Thuoc_M17,2025-04-20,1600,CN8
B69,M41,Thuoc_M41,2027-07-13,1100,CN7
B70,M24,Thuoc_M24,2027-05-11,700,CN9
B71,M22,Thuoc_M22,2027-01-13,700,CN5
B72,M21,Thuoc_M21,2027-05-31,300,CN4
B73,M17,Thuoc_M17,2026-09-14,1200,CN1
B74,M7,Thuoc_M7,2025-11-27,800,CN8
B75,M21,Thuoc_M21,2027-05-25,600,CN4
B76,M10,Thuoc_M10,2025-10-28,1600,CN3
B77,M18,Thuoc_M18,2026-05-29,400,CN8
B78,M8,Thuoc_M8,2026-09-16,1600,CN5
B79,M16,Thuoc_M16,2026-03-10,200,CN2
B80,M16,Thuoc_M16,2025-11-21,2000,CN7
B81,M28,Thuoc_M28,2025-10-12,100,CN6
B82,M16,Thuoc_M16,2027-04-22,700,CN1
B83,M16,Thuoc_M16,2025-10-05,2000,CN10
B84,M47,Thuoc_M47,2026-04-05,1200,CN9
B85,M21,Thuoc_M21,2026-06-18,500,CN6
B86,M19,Thuoc_M19,2027-08-30,1400,CN9
B87,M17,Thuoc_M17,2025-06-27,1800,CN7
B88,M49,Thuoc_M49,2026-01-19,500,CN7
B89,M17,Thuoc_M17,2027-07-10,800,CN8
B90,M5,Thuoc_M5,2026-01-12,1000,CN10
B91,M42,Thuoc_M42,2026-11-06,300,CN4
B92,M13,Thuoc_M13,2025-08-04,1300,CN5
B93,M35,Thuoc_M35,2026-10-28,300,CN9
B94,M28,Thuoc_M28,2026-11-09,1000,CN4
B95,M49,Thuoc_M49,2027-01-15,400,CN10
B96,M21,Thuoc_M21,2027-03-12,300,CN1
B97,M26,Thuoc_M26,2027-08-11,1400,CN3
B98,M40,Thuoc_M40,2026-08-06,1900,CN7
B99,M32,Thuoc_M32,2026-03-18,900,CN6
B100,M38,Thuoc_M38,2026-08-23,600,CN1
B101,M31,Thuoc_M31,2025-07-07,600,CN7
B102,M50,Thuoc_M50,2026-02-21,1500,CN3
B103,M27,Thuoc_M27,2025-10-12,1200,CN6
B104,M36,Thuoc_M36,2026-05-20,400,CN2
B105,M50,Thuoc_M50,2026-05-26,1900,CN9
B106,M2,Thuoc_M2,2026-11-11,1200,CN9
B107,M45,Thuoc_M45,2027-03-18,700,CN10
