batch_id,medicine_id,medicine_name,expiry_date,quantity_vien,branch_id
B1,M41,Thuoc_M41,2027-08-28,300,CN4
B2,M2,Thuoc_M2,2027-02-28,300,CN1
B3,M37,Thuoc_M37,2027-01-02,500,CN6
B4,M19,Thuoc_M19,2025-12-17,800,CN7
B5,M5,Thuoc_M5,2025-07-13,1000,CN7
B6,M36,Thuoc_M36,2027-04-18,300,CN2
B7,M1,Thuoc_M1,2026-01-27,700,CN9
B8,M5,Thuoc_M5,2025-07-29,800,CN1
B9,M35,Thuoc_M35,2026-02-20,200,CN2
B10,M18,Thuoc_M18,2025-06-17,300,CN9
B11,M15,Thuoc_M15,2026-09-27,600,CN6
B12,M33,Thuoc_M33,2027-03-11,100,CN1
B13,M10,Thuoc_M10,2027-06-17,900,CN9
B14,M20,Thuoc_M20,2026-12-26,800,CN10
B15,M12,Thuoc_M12,2026-09-30,500,CN6
B16,M9,Thuoc_M9,2026-10-12,300,CN1
B17,M1,Thuoc_M1,2025-03-22,300,CN2
B18,M40,Thuoc_M40,2026-07-02,300,CN5
B19,M12,Thuoc_M12,2025-03-26,700,CN7
B20,M22,Thuoc_M22,2026-10-28,900,CN3
B21,M27,Thuoc_M27,2026-06-18,700,CN3
B22,M24,Thuoc_M24,2026-04-20,200,CN2
B23,M12,Thuoc_M12,2026-08-12,600,CN2
B24,M12,Thuoc_M12,2025-05-29,700,CN4
B25,M3,Thuoc_M3,2025-10-16,300,CN3
B26,M34,Thuoc_M34,2026-12-30,700,CN7
B27,M2,Thuoc_M2,2026-09-22,800,CN9
B28,M30,Thuoc_M30,2025-05-07,700,CN9
B29,M8,Thuoc_M8,2027-07-19,500,CN7
B30,M47,Thuoc_M47,2026-05-12,200,CN9
B31,M49,Thuoc_M49,2026-08-12,500,CN7
B32,M9,Thuoc_M9,2026-05-03,600,CN7
B33,M5,Thuoc_M5,2025-05-19,700,CN10
B34,M11,Thuoc_M11,2026-08-19,100,CN7
B35,M18,Thuoc_M18,2027-04-26,100,CN6
B36,M8,Thuoc_M8,2025-10-04,400,CN9
B37,M8,Thuoc_M8,2025-11-10,800,CN6
B38,M30,Thuoc_M30,2025-07-08,300,CN6
B39,M25,Thuoc_M25,2025-11-03,100,CN1
B40,M31,Thuoc_M31,2026-04-08,1000,CN1
B41,M29,Thuoc_M29,2027-07-16,500,CN4
B42,M25,Thuoc_M25,2027-01-29,800,CN1
B43,M28,Thuoc_M28,2025-06-23,600,CN10
B44,M44,Thuoc_M44,2026-08-25,100,CN1
B45,M14,Thuoc_M14,2025-12-13,800,CN2
B46,M38,Thuoc_M38,2027-06-07,100,CN3
B47,M46,Thuoc_M46,2027-04-02,700,CN6
B48,M30,Thuoc_M30,2025-07-08,1000,CN9
B49,M4,Thuoc_M4,2027-01-28,100,CN3
B50,M45,Thuoc_M45,2026-06-06,600,CN6
B51,M14,Thuoc_M14,2027-07-03,700,CN5
B52,M31,Thuoc_M31,2026-02-16,100,CN7
B53,M48,Thuoc_M48,2025-09-22,700,CN7
B54,M38,Thuoc_M38,2025-11-10,200,CN5
B55,M2,Thuoc_M2,2026-08-10,400,CN10
B56,M26,Thuoc_M26,2026-02-04,100,CN7
B57,M45,Thuoc_M45,2027-03-22,800,CN8
B58,M50,Thuoc_M50,2026-10-09,300,CN7
B59,M50,Thuoc_M50,2027-04-05,800,CN6
B60,M35,Thuoc_M35,2027-04-04,900,CN4
B61,M33,Thuoc_M33,2025-10-22,500,CN6
B62,M49,Thuoc_M49,2025-07-01,1000,CN3
B63,M31,Thuoc_M31,2025-07-04,300,CN3
B64,M30,Thuoc_M30,2025-10-18,900,CN9
B65,M12,Thuoc_M12,2027-02-17,900,CN8
B66,M34,Thuoc_M34,2027-03-08,100,CN3
B67,M45,Thuoc_M45,2027-08-29,200,CN2
B68,M29,Thuoc_M29,2027-06-29,100,CN8
B69,M16,Thuoc_M16,2026-12-02,800,CN10
B70,M43,Thuoc_M43,2025-07-01,1000,CN2
B71,M39,Thuoc_M39,2026-12-06,500,CN1
B72,M22,Thuoc_M22,2025-07-28,600,CN3
B73,M24,Thuoc_M24,2027-02-03,400,CN7
B74,M14,Thuoc_M14,2026-04-01,300,CN2
B75,M5,Thuoc_M5,2025-06-02,200,CN10
B76,M26,Thuoc_M26,2025-05-30,1000,CN3
B77,M21,Thuoc_M21,2025-12-22,800,CN2
B78,M16,Thuoc_M16,2026-04-02,700,CN6
B79,M49,Thuoc_M49,2026-05-05,700,CN4
B80,M6,Thuoc_M6,2027-04-16,300,CN4
B81,M5,Thuoc_M5,2026-12-30,100,CN4
B82,M22,Thuoc_M22,2025-12-09,1000,CN4
B83,M43,Thuoc_M43,2026-12-23,200,CN5
B84,M17,Thuoc_M17,2027-06-11,200,CN4
B85,M21,Thuoc_M21,2025-04-21,200,CN2
B86,M15,Thuoc_M15,2027-02-09,900,CN5
B87,M30,Thuoc_M30,2026-09-24,900,CN10
B88,M33,Thuoc_M33,2026-06-06,900,CN2
B89,M46,Thuoc_M46,2026-07-18,300,CN2
B90,M17,Thuoc_M17,2025-09-29,1000,CN1
B91,M45,Thuoc_M45,2027-02-01,1000,CN7
B92,M17,Thuoc_M17,2027-08-22,300,CN7
B93,M50,Thuoc_M50,2025-10-09,300,CN7
B94,M28,Thuoc_M28,2026-05-26,200,CN7
B95,M46,Thuoc_M46,2026-03-07,200,CN7
B96,M35,Thuoc_M35,2025-05-28,400,CN1
B97,M35,Thuoc_M35,2025-11-05,100,CN5
B98,M16,Thuoc_M16,2026-04-06,800,CN5
B99,M25,Thuoc_M25,2026-04-19,700,CN8
B100,M11,Thuoc_M11,2027-08-12,800,CN3
B101,M8,Thuoc_M8,2026-02-10,700,CN8
B102,M30,Thuoc_M30,2027-05-28,500,CN5
B103,M50,Thuoc_M50,2026-03-13,700,CN5
B104,M21,Thuoc_M21,2026-05-30,800,CN8
B105,M17,Thuoc_M17,2027-06-15,100,CN8
B106,M6,Thuoc_M6,2026-07-13,800,CN9
B107,M6,Thuoc_M6,2025-07-20,600,CN10
B108,M8,Thuoc_M8,2026-09-29,1000,CN8
B109,M32,Thuoc_M32,2026-12-23,1000,CN3
B110,M7,Thuoc_M7,2027-08-30,800,CN2
B111,M9,Thuoc_M9,2026-07-29,1000,CN3
B112,M15,Thuoc_M15,2026-01-12,400,CN5
B113,M10,Thuoc_M10,2026-08-09,400,CN4
B114,M38,Thuoc_M38,2026-03-19,800,CN6
B115,M16,Thuoc_M16,2026-05-11,1000,CN9
B116,M1,Thuoc_M1,2027-05-17,100,CN6
B117,M14,Thuoc_M14,2026-04-24,700,CN7
B118,M16,Thuoc_M16,2025-09-10,700,CN7
B119,M47,Thuoc_M47,2027-06-18,700,CN4
B120,M36,Thuoc_M36,2026-12-28,600,CN4
B121,M8,Thuoc_M8,2025-07-06,300,CN3
B122,M10,Thuoc_M10,2026-05-18,300,CN7
B123,M30,Thuoc_M30,2027-02-05,300,CN2
B124,M35,Thuoc_M35,2025-08-02,300,CN8
B125,M45,Thuoc_M45,2026-05-23,500,CN5
B126,M27,Thuoc_M27,2026-10-27,700,CN8
B127,M21,Thuoc_M21,2027-07-05,700,CN4
B128,M50,Thuoc_M50,2025-05-09,600,CN1
B129,M35,Thuoc_M35,2025-04-15,1000,CN2
B130,M20,Thuoc_M20,2026-05-11,500,CN6
B131,M20,Thuoc_M20,2026-11-19,300,CN6
B132,M7,Thuoc_M7,2027-07-25,700,CN4
B133,M41,Thuoc_M41,2025-06-30,500,CN2
B134,M11,Thuoc_M11,2027-06-23,500,CN2
B135,M7,Thuoc_M7,2025-04-09,700,CN2
B136,M4,Thuoc_M4,2025-11-26,900,CN3
B137,M45,Thuoc_M45,2027-08-01,600,CN8
B138,M7,Thuoc_M7,2026-04-18,700,CN9
B139,M1,Thuoc_M1,2026-06-13,500,CN1
B140,M18,Thuoc_M18,2027-05-13,100,CN4
B141,M8,Thuoc_M8,2027-03-30,100,CN8
B142,M7,Thuoc_M7,2025-08-22,900,CN4
B143,M11,Thuoc_M11,2026-09-23,800,CN2
B144,M11,Thuoc_M11,2026-05-07,300,CN5
B145,M14,Thuoc_M14,2025-11-06,900,CN3
B146,M37,Thuoc_M37,2027-03-07,600,CN4
B147,M23,Thuoc_M23,2027-08-07,400,CN10
B148,M22,Thuoc_M22,2026-06-20,100,CN4
B149,M30,Thuoc_M30,2026-08-29,500,CN9
B150,M30,Thuoc_M30,2026-05-02,700,CN10
B151,M19,Thuoc_M19,2027-05-11,1000,CN3
B152,M4,Thuoc_M4,2026-11-17,200,CN6
B153,M26,Thuoc_M26,2026-08-23,700,CN10
B154,M40,Thuoc_M40,2027-05-02,800,CN6
B155,M38,Thuoc_M38,2026-10-19,600,CN5
B156,M30,Thuoc_M30,2027-07-08,200,CN6
B157,M9,Thuoc_M9,2025-04-02,400,CN8
B158,M5,Thuoc_M5,2027-06-09,1000,CN2
B159,M47,Thuoc_M47,2026-05-27,900,CN6
B160,M26,Thuoc_M26,2025-09-16,800,CN2
